name,issns,active,withdrawn_date,withdrawal_reason
Archivos de ciencias de la educación,0518-3669;2346-8866,true,,
Archivos de historia del movimiento obrero y la izquierda.,2313-9749;2683-9601,true,,
Archivos de medicina veterinaria,0301-732X;0717-6201,true,,
Archivos de neurociencias,0187-4705;2954-4122;1028-5938,true,,
Archivos de Pediatría del Uruguay,0004-0584;1688-1249,true,,
Archivos de prevención de riesgos laborales,1138-9672;1578-2549,true,,
Archivos de zootecnia,0004-0592;1885-4494,true,,
Archivos peruanos de cardiología y cirugía cardiovascular,2708-7212,true,,
Archivum,0570-7218;2341-1120,true,,
Área abierta,1578-8393,true,,
Área.,0328-1337;2591-5312,true,,
Areas. Revista de ciencias sociales,0211-6707;1989-6190,true,,
Arenal. Revista de historia de las mujeres,1134-6396;2792-1565,true,,
Areté,2443-4566,true,,
Argentinian Journal of Respiratory and Physical Therapy,2618-4095,true,,
Argonautas,1853-9092,true,,
Argos,1562-4072,true,,
Argumentos,1666-8979,true,,
Argumentos,2525-0469,true,,
Argumentos,1806-5627;2527-2551,true,,
Argumentos : Revista de Filosofia,1984-4247;1984-4255,true,,
Argumentos de razón técnica,1139-3327;2253-8151,true,,
Arkadin,1669-1563;2525-085X,true,,
Armiliar,2545-7888,true,,
arq.urb.,1984-5766,true,,
Arqueología,0327-5159;1853-8126,true,,
Arqueología de la arquitectura,1695-2731;1989-5313,true,,
Arqueología iberoamericana,1989-4104,true,,
Arqueología y sociedad,2810-8566;0254-8062,true,,
Arqueología y territorio medieval,2386-5423;1134-3184,true,,
Arquisur revista,1853-2365;2250-4206,true,,
Arquitecno,0328-0896;2683-9881,true,,
Arquitectura +,2518-2943,true,,
Arquitecturas del sur,0716-2677;0719-6466,true,,
Arquitek,2073-8811;2617-0892,true,,
Arquitextos,1819-2939;2706-8099,true,,
Arquivos de medicina,2183-2447,true,,
Arquivos de Zoologia,0066-7870;2176-7793,true,,
Arquivos Médicos dos Hospitais e da Faculdade de Ciências Médicas da Santa Casa de São Paulo,0101-6067;1809-3019,true,,
Arrancada,1729-3693;1810-5882,true,,
ARS,1678-5320;2178-0447,true,,
Ars & renovatio,2340-843X,true,,
Ars Bilduma,1989-9262,true,,
Ars Brevis,1136-3711;2339-9775,true,,
Ars iuris salmanticensis,2340-5155,true,,
Ars longa. Cuadernos de arte,1130-7099;2605-0439,true,,
Ars pharmaceutica,0004-2927;2340-9894,true,,
ArtCultura,2178-3845;1516-8603,true,,
Arte da Cena,2358-6060,true,,
Arte e investigación,1850-2334;2469-1488,true,,
Arte Imagen y Sonido,2954-4017,true,,
Arte nuevo,2297-2692,true,,
Arte y ciudad,2254-7673;2254-2930,true,,
Arte y Políticas de Identidad,1989-8452;1889-979X,true,,
Arte y sociedad. Revista de investigación,2174-7563,true,,
"Arte, diseño e ingeniería",2254-8319,true,,
"Arte, individuo y sociedad",1131-5598;1988-2408,true,,
Artefactos,1989-3612,true,,
Artescena,0719-7535,true,,
Artifara,1594-378X;2361-7365,true,,
Artificio,2992-7463,true,,
Artigrama,0213-1498;2444-3751,true,,
Artilugio.,2408-462X,true,,
Artis on,2183-7082,true,,
Artnodes,1695-5951,true,,
Arxiu,2952-0460;2951-9810,true,,
Arxiu d'etnografía de Catalunya,2014-3885;0212-0372,true,,
Arxius de Ciències Socials,2990-2266;2990-2258,true,,
Arxius de miscel·lània zoològica,1698-0476,true,,
"Arys. Antiguedad, religiones y sociedades",1575-166X;2173-6847,true,,
Asamblea,2951-665X,true,,
Asclepio,0210-4466;1988-3102,true,,
Asparkia. Investigacio feminista,1132-8231;2340-4795,true,,
Astrágalo. Cultura de la arquitectura y la ciudad,1134-3672;2469-0503,true,,
Astrolabio,1668-7515,true,,
Atalanta,2340-1176,true,,
Atek Na,1668-1479;2422-6726,true,,
Atenas Revista Científica Técnica y Tecnológica.,2953-6553,true,,
Atenea,0716-1840;0718-0462,true,,
Ateneo,1390-4396;2661-6971,true,,
Ateneo Leonés,2386-7035;2695-4540,true,,
Athenea Digital. Revista de Pensamiento e Investigación social,1578-8946,true,,
Atlantic Review of Economics,2174-3835,true,,
Atlantis. Revista de la Asociación española de estudios anglo-norteamericanos,0210-6124;1989-6840,true,,
Atlas Research Journal.,3121-2565,true,,
Atmósfera,0187-6236;2395-8812,true,,
AtoZ,2237-826X,true,,
Atrio. Revista de Historia del Arte,0214-8293;2659-5230,true,,
Augm Domus.,1852-2181,true,,
Aula abierta,0210-2773;2341-2313,true,,
Aula de encuentro,1137-8778;2341-4847,true,,
Aula Palma,1810-7524;2415-2218,true,,
Aula Revista de Humanidades y Ciencias Sociales,2636-2236;0254-7597,true,,
Aula. Revista de Pedagogía de la Universidad de Salamanca,0214-3402;2174-0925,true,,
Aura,2347-0135,true,,
Ausart,2340-9134,true,,
Auster,1514-0121;2346-8890,true,,
Austral comunicación,2313-9129;2313-9137,true,,
Austral journal of veterinary sciences,0719-8000;0719-8132,true,,
Autoctonía,0719-8213,true,,
AV notas,2529-8577,true,,
AvaCient,2594-018X;2992-8567,true,,
Avances,1794-4953;2619-6581,true,,
Avances,1562-3297,true,,
Avances de investigación,2393-6517,true,,
Avances de investigación en educación matemática,2254-4313,true,,
Avances del Cesor,1514-3899;2422-6580,true,,
Avances en Enfermería,0121-4500;2346-0261,true,,
Avances en psicología,1812-9536;2708-5007,true,,
Avances en Psicología Latinoamericana,1794-4724;2145-4515,true,,
Avances en supervisión educativa,1885-0286,true,,
Avances.,1667-927X;2718-6555,true,,
Avante-Revista de humanidades y ciencias sociales,0719-9740,true,,
Avatares de la comunicación y la cultura,1853-5925,true,,
Axioma,2550-6684;1390-6267,true,,
Aypate,3028-9432,true,,
Azafea. Revista de Filosofía,0213-3563;2444-7072,true,,
Azarbe. Revista Internacional de Trabajo Social y Bienestar,2254-9641;2255-4955,true,,
AZUR,2215-6089,true,,
Badebec,1853-9580,true,,
Baetica,0212-5099;2695-7809,true,,
BAG Journal of basic applied genetics,1666-0390;1852-6233,true,,
Bajo palabra,1576-3935;1887-505X,true,,
BAR - Brazilian Administration Review,1807-7692,true,,
Barataria. Revista castellano-manchega de Ciencias sociales,1575-0825;2172-3184,true,,
Barcelona Research Art Creation,2014-8992,true,,
Barcelona respiratory network reviews,2385-7110,true,,
"Base, Diseño e Innovación",2452-5928;0719-515X,true,,
Bastcorp International Journal,3028-8797,true,,
Beckettiana,2683-9679,true,,
Behavior & law journal,2444-4170,true,,
Belas Infiéis,2316-6614,true,,
"Bellas Artes. Revista de Artes Plásticas, Estética, Diseño e Imagen",1695-761X;2530-8432,true,,
Bellaterra. Journal of teaching and learning laguage and literature,2013-6196,true,,
Benessere,0719-7764,true,,
BEPA. Boletim epidemiológico paulista,1806-423X;1806-4272,true,,
Biblio 3W. Revista Bibliográfica de Geografía y Ciencias Sociales,1138-9796,true,,
Bibliographica,2594-178X;2683-2232,true,,
Biblioteca de Babel,2695-6349,true,,
BiD. Textos universitaris de biblioteconomia i documentació,1575-5886,true,,
Bio Scientia,2664-5114;2664-5742,true,,
Bioagro,1316-3361;2521-9693,true,,
Biocenosis,0250-6963;1659-4991,true,,
Bioethics update,2395-938X;2448-7511,true,,
Biolex,2007-5634;2007-5545,true,,
Biología acuática.,0326-1638;1668-4869,true,,
Biological research,0716-9760;0717-6287,true,,
Bioquímica y patología clínica.,1515-6761;2684-0359,true,,
Biorrefinería,2602-8530,true,,
BioSCIENCE,2764-9342;2764-9350,true,,
Bioscience Journal,1516-3725;1981-3163,true,,
Biotech & engineering,2788-4295,true,,
Biotecnia,1665-1456,true,,
Biotempo,1992-2159;2519-5697,true,,
Bitácora arquitectura,1405-8901;2594-0856,true,,
Boletim Cearense de Educação e História da Matemática,2357-8661;2447-8504,true,,
Boletim IBCCRIM,1676-3661;2965-937X,true,,
Boletín - Instituto del mar del Perú,0458-7766;2810-868X,true,,
Boletín académico. Revista de investigación y arquitectura contemporanea,0213-3474;2173-6723,true,,
Boletín americanista,0520-4100;2014-993X,true,,
Boletín Científico CIOH,0120-0542;2215-9045,true,,
Boletín científico de la Escuela Superior Atotonilco de Tula,2007-7831,true,,
Boletín científico de las ciencias económico administrativas del ICEA,2007-4913,true,,
Boletín científico Ideas y Voces,2960-8112,true,,
Boletín Científico INVESTIGIUM de la Escuela Superior de Tizayuca,2448-4830,true,,
Boletín científico tecnológico,0718-1191;2452-607X,true,,
Boletín criminológico,1137-2427;2254-2043,true,,
Boletín da Real Academia Galega,1576-8767;2605-1680,true,,
Boletín de Antropología,0120-2510;2390-027X,true,,
Boletín de Arte,2314-2502,true,,
Boletín de arte,0211-8483;2695-415X,true,,
Boletín de ciencias agropecuarias del ICAP,2448-5357,true,,
Boletín de Coyuntura,2528-7931;2600-5727,true,,
Boletín de estética,1668-7132;2408-4417,true,,
Boletín de estudios geográficos,0374-6186;2525-1813,true,,
Boletín de la Academia Nacional de Historia.,2773-7381,true,,
Boletín de la Academia Peruana de la Lengua,0567-6002;2708-2644,true,,
Boletín de la Asociación de Geógrafos Españoles,0212-9426;2605-3322,true,,
Boletín de la Asociación Internacional de Derecho Cooperativo,1134-993X;2386-4893,true,,
Boletín de la Biblioteca Menéndez Pelayo,0006-1646;2952-184X,true,,
Boletín de la Sociedad Argentina de Botánica,0373-580X;1851-2372,true,,
Boletín de la Sociedad Española de Cerámica y Vidrio,0366-3175;2173-0431,true,,
Boletín de la Sociedad Española de Historiografía Lingüística,1695-2030;2386-5830,true,,
Boletín de la Sociedad Zoológica del Uruguay,0255-4402;2393-6940,true,,
Boletín de Literatura Comparada.,0325-3775;2683-8397,true,,
Boletín de literatura oral,2173-0695,true,,
Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani,0524-9767;1850-2563,true,,
Boletín del Museo Arqueológico Nacional,0212-5544;2341-3409,true,,
Boletín epidemiológico semanal,2173-9277,true,,
Boletín galego de literatura,0214-9117;2174-4025,true,,
Boletín GEC,1515-6117;2618-334X,true,,
Boletín geográfico,0326-1735;2313-903X,true,,
Boletín mexicano de derecho comparado,0041-8633;2448-4873,true,,
Boletín micológico,0716-114X;0719-3114,true,,
Boletín Redipe,2256-1536,true,,
Bolivian studies Journal,1074-2247;2156-5163,true,,
Bonplandia,0524-0476;1853-8460,true,,
Bordón,0210-5934;2340-6577,true,,
Borealis,1893-3211,true,,
Bosques Latitud Cero,2528-7818;1390-3683,true,,
Botanica complutensis,0214-4565;1988-2874,true,,
Botanical sciences,2007-4298;2007-4476,true,,
Brazilian Journal of Biometrics,2764-5290,true,,
Brazilian Journal of Environmental Sciences,1808-4524;2176-9478,true,,
Brazilian Journal of Forensic Sciences,2237-261X,true,,
Brazilian Journal of Information Science,1981-1640,true,,
Brazilian Journal of Motor Behavior,1980-5586;2446-4902,true,,
Brazilian Journal of Oncology,2526-8732,true,,
Brazilian Journal of Transplantation,2764-1589,true,,
Brazilian Journal of Veterinary Medicine,0100-2430;2527-2179,true,,
Brazilian Political Science Review,1981-3821,true,,
Brésil(s),2257-0543;2425-231X,true,,
Bridging cultures,2525-1791,true,,
Brumal,2014-7910,true,,
BSAA arte,1888-9751;2530-6359,true,,
Buen gobierno,1870-4271;2683-1643,true,,
Building & Management,2530-8157,true,,
Bulletin de l'Institut Français d'Etudes Andines,0303-7495;2076-5827,true,,
Bulletin of Hispanic studies,1475-3839;1478-3398,true,,
Bulletin of Spanish studies,1475-3820;1478-3428,true,,
Business research quarterly,2340-9436;2340-9444,true,,
Butlletí de la Societat Catalana d'Estudis Històrics,0213-6791;2013-3995,true,,
Byzantion nea hellás,0716-2138;0718-8471,true,,
C.I.R.I.E.C. España,0213-8093;1989-6816,true,,
C&T Riqchary,2810-8124,true,,
C3-bioeconomy,2660-9126,true,,
Cabás,1989-5909,true,,
Caderno de Ciências Agrárias,1984-6738;2447-6218,true,,
Caderno de Educação Física e Esporte,2318-5090;2318-5104,true,,
Cadernos Brasileiros de Terapia Ocupacional,2526-8910,true,,
Cadernos CEPEC,2238-118X;2966-1110,true,,
Cadernos de dereito actual,2340-860X;2386-5229,true,,
Cadernos de Filosofia Alemã,1413-7860;2318-9800,true,,
Cadernos de Linguística,2675-4916,true,,
Cadernos de literatura comparada,1645-1112;2183-2242,true,,
Cadernos de Pesquisa,0100-1574;1980-5314,true,,
Cadernos de Pós Graduação em Arquitetura e Urbanismo,1676-6679;1809-4120,true,,
